SolutionID,Title,Providedby,Description,Crop,disease,GrowingStageID,CPPProductSolution,ranking,,本表中solution标注对应农药ID，并且在CPP库中标注防治方法对应农药,,,,,,,,,,,,,,,,,,
,药剂防治,陶氏益农,防治水稻飞虱，于虫害发生盛期施用乐斯本1次（60-80毫升/亩）；或低龄幼（若）虫期施用陶斯仙1～2次（42-85毫升/亩），间隔7天，如虫量较大，隔7天再施1次药；在低龄若虫期施用特福力1次（15-23毫升/亩），施药时应重点对稻株茎叶基部均匀喷雾。高温天气、大风天或预计1小时内降雨，请勿施药。,水稻,灰飞虱,20~22,1,1,PD20084644,PD47-87,LS20130291,,,,,,,,,,,,,,,,,
,药剂防治,,可选用25％优乐得可湿性粉剂2000倍液，20％稻虱净乳油800倍液，或25％扑虱灵可湿性粉剂1000倍液加40％毒死蜱乳油500倍液。,水稻,灰飞虱,20~22,1,2,PD98-89,PD20080798,PD20094724,PD20080654,PD47-87,PD20086294,PD20084644,PD20085616,,,,,,,,,,,,
,农业防治,,冬春期间结合积肥，铲除田边、沟边、塘边杂草，清除田埂地旁的枯枝落叶，特别要做好清除秧田附近的游草及其他禾本科杂草。合理应用栽培技术，培育和移栽壮秧，以缩短受害危险期。,水稻,稻蓟马,,0,3,,,,,,,,,,,,,,,,,,,,
,种子处理,,药剂防治的策略是狠抓秧田，巧抓大田，主防若虫，兼防成虫。在播前3天用10％吡虫啉可湿性粉剂4500克/公顷，加浸种灵和施宝克各450毫升/公顷，对水3000千克浸种60小时后催芽播种，对苗期稻蓟马防效可达95％以上，药效期长达30天左右。,水稻,稻蓟马,1~8,1,1,PD365-2001,PD20040193,PD20030004,PD20080001,,,,,,,,,,,,,,,,
,药剂防治,,幼虫盛发期可喷洒10％吡虫啉可湿性粉剂2500倍液，或50％杀螟松乳油500倍液，或90％敌百虫晶体1500倍液。,水稻,稻蓟马,9~16,1,2,PD365-2001,PD20040193,PD20086334,PD20093923,PD84108-13,PD84108-5,,,,,,,,,,,,,,
,农业防治,,在幼虫结包时，人工摘除虫苞。虫包飘落水面时，在排水处安放竹栅。,水稻,稻螟蛉,,0,3,,,,,,,,,,,,,,,,,,,,
,物理防治,,结合诱杀三化螟等，在成虫盛发期进行灯光诱杀。,水稻,稻螟蛉,,0,2,,,,,,,,,,,,,,,,,,,,
,药剂防治,,在2龄幼虫高峰期喷洒25％杀虫双水剂1000倍液，或50％杀螟松乳油1000倍液，或90％晶体敌百虫500倍液。,水稻,稻螟蛉,,1,1,PD84104-52,PD20085113,PD20086334,PD20093923,PD84108-13,PD84108-5,,,,,,,,,,,,,,
,肥水管理,,再生稻、落谷苗、游草是稻瘿蚊的越冬寄主，冬春期间结合积肥彻底铲除消毁田边、沟边、圳边的越冬寄主，冬翻田、冷烂锈水田都要及早冬耕翻犁，并在翌年惊蜇前进行灌水溶田，最大限度地压低虫源基数。施足基肥，早施追肥，使禾苗早生快发，减少无效分蘖，及时排水晒田，加强栽培管理，加速幼穗分化形成，可以抑制稻瘿蚊的入侵。,水稻,稻瘿蚊,,0,4,,,,,,,,,,,,,,,,,,,,
,农业防治,,耕作制度调整以避过为害适期。调节水稻播插期以错开稻瘿蚊的盛发期，可以减低其为害。,水稻,稻瘿蚊,,0,5,,,,,,,,,,,,,,,,,,,,
,生物防治,,稻瘿蚊的主要天敌是寄生蜂，其中以黄柄黑蜂为优势种。采取湿播早育，培育老壮秧，使秧田小气候干燥，改善生态环境，以利寄生蜂活动。,水稻,稻瘿蚊,,0,3,,,,,,,,,,,,,,,,,,,,
,药剂防治,陶氏益农,在央针期和移栽后5～7天各施药1次（250-300毫升/亩），将药液使用剂量用水稀释配成母液再与每亩15～20公斤细沙土拌匀撤施于田间。大风天或预计一小时内降雨，请勿施药。,水稻,稻瘿蚊,,1,1,PD47-87,,,,,,,,,,,,,,,,,,,
,药剂防治,,药剂防治主要是中稻和双晚稻秧田防治，以压低晚稻大田的虫源。以混合农药毒土法较为有效，使用时分别拌匀泥粉或细沙撒施或做成药团塞于水稻根部。施药前稻田必须灌好水，药后保持3mm水层3～5天，以提高药效。可选用20％三唑磷乳油3750毫升/公顷，或20％喹硫磷乳油3750毫升/公顷。,水稻,稻瘿蚊,,1,2,PD20040491,PD85158,,,,,,,,,,,,,,,,,,
,种子处理,,用40％甲基异柳磷乳油50ml或50％辛硫磷乳油100ml，对水2-3kg，拌麦种50kg，拌后堆闷2-3小时。,水稻,东方蝼蛄,1,1,1,PD86164-2,PD86164,PD20093236,PD85157-2,,,,,,,,,,,,,,,,
,农业防治,,施用充分腐熟有机肥。,水稻,华北蝼蛄,,0,5,,,,,,,,,,,,,,,,,,,,
,物理防治,,利用灯光诱杀。,水稻,华北蝼蛄,,0,4,,,,,,,,,,,,,,,,,,,,
,药剂防治-播种,,播种时施用毒谷，参考蛴螬防治法。一般把麦麸等饵料炒香，每亩用饵料4-5kg，加入90％敌百虫的30倍水溶液150ml左右，再加入适量的水拌匀成毒饵，于傍晚撒于苗圃地面，施毒饵前能先灌水，保持地面湿润，效果尤好。,水稻,华北蝼蛄,2,1,1,PD84108-13,PD84108-5,,,,,,,,,,,,,,,,,,
,土壤处理,,药剂处理土壤或药剂处理种子，参考蛴螬防治法。,水稻,华北蝼蛄,,0,3,,,,,,,,,,,,,,,,,,,,
,药剂防治-本田期,,生长期被害，也可用50％辛硫磷或20％甲基异柳磷乳油2000倍液浇灌。,水稻,华北蝼蛄,3~9,1,2,PD86164-2,PD86164,PD20093236,PD85157-2,,,,,,,,,,,,,,,,
,农业防治,,及时清除稻田杂草。,水稻,稻潜叶蝇,,0,2,,,,,,,,,,,,,,,,,,,,
,药剂防治,,主要防治2代，杀灭初孵幼虫兼治成虫。喷洒2.5％溴氰菊酯乳油2500倍液或10％吡虫啉可湿性粉剂2500倍液。,水稻,稻潜叶蝇,4~12,1,1,PD365-2001,PD20040193,PD20080883,,,,,,,,,,,,,,,,,
,农业防治,,"清除越冬场所的杂草,减少虫源。一般于秋春期间铲除稻田附近向阳坡田埂、沟渠边的杂草,消灭部分越冬害虫,减轻危害,适时插秧。 ",水稻,负泥虫,,0,3,,,,,,,,,,,,,,,,,,,,
,药剂防治-移栽前,,"水稻移栽前3~5d,可用70%吡虫啉4g/100m2或25%噻虫嗪6~8g/100m2喷雾。",水稻,负泥虫,8,1,1,PD365-2001,PD20040193,PD20110596,PD20122066,PD20140153,,,,,,,,,,,,,,,
,药剂防治-本田期,,"水稻本田可用90%的晶体敌百虫,每公顷1500~2250g，兑水喷雾；或用800%的敌敌畏乳油,每公顷1500~2250ml，兑水喷雾。",水稻,负泥虫,9~12,1,2,PD84108-13,PD84108-5,PD20097335,PD20101980,,,,,,,,,,,,,,,,
,农业防治,,在稻飞虱发生期内，采用干干湿湿灌水方法比长期保水田虫量明显减少。水可调节肥料的供应，影响水稻长势，从而影响稻飞虱发生程度；降低种植密度，改善田间通风透光性，降低田间湿度。,水稻,白背飞虱,,0,3,,,,,,,,,,,,,,,,,,,,
,肥水管理,,合理轮作可减少田间虫口基数，恶化稻田稻飞虱生长环境，是建立良好的稻田生态系的基础，如稻蔗轮作，早稻与晚薯轮作等。,水稻,白背飞虱,,0,4,,,,,,,,,,,,,,,,,,,,
,药剂防治,陶氏益农,防治水稻飞虱，于虫害发生盛期施用乐斯本1次（60-80毫升/亩）；或低龄幼（若）虫期施用陶斯仙1～2次（42-85毫升/亩），间隔7天，如虫量较大，隔7天再施1次药；或在低龄若虫期施用特福力1次（15-23毫升/亩），施药时应重点对稻株茎叶基部均匀喷雾。高温天气、大风天或预计1小时内降雨，请勿施药。,水稻,白背飞虱,10~23,1,1,PD20084644,PD47-87,LS20130291,,,,,,,,,,,,,,,,,
,药剂防治,,药剂可选用10％叶蝉散可湿性粉剂300倍液，或20％稻虱净乳油500倍液，或25％优乐得可湿性粉剂2000倍液，或10％吡虫啉可湿性粉剂1500倍液，或25％扑虱灵可湿性粉剂2000倍液。,水稻,白背飞虱,10~23,1,2,PD98-89,PD20080798,PD20094724,PD20080654,PD365-2001,PD20040193,,,,,,,,,,,,,,
,农业防治,,冬春期间铲除田边杂草，消灭其中越冬幼虫和蛹。卵盛孵前，清除稗草和田边杂草。早稻收割后及时翻耕沤田。早玉米收获后及时清除遗株，消灭其中幼虫和蛹。有茭白大的地区，茭白是主要越冬虫源，应在早春前齐泥割去残株。,水稻,大螟,,0,2,,,,,,,,,,,,,,,,,,,,
,药剂防治,,药剂可选用40％吡虫啉可湿性粉剂500倍液，或50％杀虫双可溶粉剂1000倍液。隔5～7天喷1次，一般防治2～3次即可。,水稻,大螟,9~23,1,1,PD365-2001,PD20040193,PD84104-52,PD20085113,,,,,,,,,,,,,,,,
,农业防治,,选用抗虫品种，稻叶宽大质硬，表皮硅链排列紧密的品种；稻叶窄细挺直，主脉粗硬叶片色浅窄细的品种；或稻叶表面刚毛长成虫很少产卵的品种。,水稻,稻纵卷叶螟,,0,4,,,,,,,,,,,,,,,,,,,,
,肥水管理,,加强肥水管理合理施肥，适时适度烤田，促使水稻壮健叶挺，减轻为害。,水稻,稻纵卷叶螟,,0,5,,,,,,,,,,,,,,,,,,,,
,生物防治,,稻纵卷叶螟寄生天敌对其控制作用比较突出，利用寄生天敌是十分重要和必要的。用松毛虫赤眼蜂、澳洲赤眼蜂，在发蛾盛期，每隔2～3天放1批，连放3～5批，每公顷设置1800～2250个点，每hm2每次放蜂225～450万头。,水稻,稻纵卷叶螟,10~23,0,3,,,,,,,,,,,,,,,,,,,,
,药剂防治,陶氏益农,防治稻纵卷叶螟，应在1-2龄幼虫发生盛期施用乐斯本1次（60-80毫升/亩）；或施用陶斯仙1-2次（42-85毫升/亩），间隔7天；或施用喜斯本1-2次，间隔7天，每亩兑水45升左右（90-120毫升/亩）；或者在低龄幼虫期施用催杀1～2次（6-10毫升/亩），间隔5～7天。高温天气、大风天或预计1小时内降雨，请勿施药。本品在水稻作物上使用的安全间隔期为15天，每个作物周期的最多使用次数为1次。,水稻,稻纵卷叶螟,10~23,1,1,PD20084644,PD47-87,PD20142649,PD20070190,,,,,,,,,,,,,,,,
,药剂防治,,杀虫剂在稻纵卷叶螟幼虫3龄前喷洒，效果最好。药剂可选用20％抑食肼可湿性粉剂2000倍液，40％毒死蜱乳油1000倍液，或10％吡虫啉可湿性粉剂2000倍液，或50％杀虫双可溶粉剂700倍液。,水稻,稻纵卷叶螟,10~23,1,2,PD20080668,PD20084730,PD47-87,PD20086294,PD365-2001,PD20040193,PD84104-52,PD20085113,,,,,,,,,,,,
,药剂防治,,越冬场所稻水象甲及一代成虫的防治：部分成虫爬到杂草植株上后施用3％呋喃丹颗粒剂或3％甲基异柳磷颗粒剂，高效压低发生基数。一代成虫具有很强的趋光性和飞翔能力，7月中旬一8月中旬喷洒上述杀虫剂，防治本田一代成虫。,水稻,稻水象甲,10~23,1,1,PD11-86,PD20086319,PD86164-2,PD86164,,,,,,,,,,,,,,,,
,农业防治,,水稻收获后，还有很多成虫残留在稻茬或稻田土层内越冬，为此及时翻耕土地，可降低其越冬存活率。,水稻,稻水象甲,,0,2,,,,,,,,,,,,,,,,,,,,
,农业防治,,选用高产抗虫品种，是防治虫害最有效的措施。冬、春季和夏收前后，结合积肥，铲除田边杂草。因地制宜，改革耕作制度，避免混栽，减少桥梁田。加强肥水管理，避免稻株贪青徒长。,水稻,黑尾叶蝉,,0,3,,,,,,,,,,,,,,,,,,,,
,农业防治,,有水源地区，水稻分蘖期，用柴油或废机油15千克/公顷，滴于田中，待油扩散后，随即用竹竿将虫扫落水中，使之触油而死。滴油前田水保持3mm以上，滴油扫落后，排出油水，灌进清水，避免油害。早稻收割后，也可立即耕翻灌水，田面滴油耕耙。,水稻,黑尾叶蝉,,0,4,,,,,,,,,,,,,,,,,,,,
,物理防治,,黑尾叶蝉有很强的趋光性，且扑灯的多是怀卵的雌虫，可在6～8月成虫盛发期进行灯光诱杀。,水稻,黑尾叶蝉,,0,2,,,,,,,,,,,,,,,,,,,,
,药剂防治,,施药时田间要有水层3mm，保持3～4天。农药要混合使用或更换使用，以免产生抗药性。药剂可选用10％吡虫啉可湿性粉剂3000倍液，或50％杀螟松乳剂1000倍液。,水稻,黑尾叶蝉,10~23,1,1,PD365-2001,PD20040193,PD20086334,PD20093923,,,,,,,,,,,,,,,,
,农业防治,,注意铲除田边、沟边杂草，春耕沤田时多耕多耙，使土中蛰伏的成、幼虫浮到水面上，再把虫涝起深埋或烧毁。,水稻,稻象甲,,0,2,,,,,,,,,,,,,,,,,,,,
,药剂防治,,在稻象甲为害严重的地区，已见稻叶受害时，喷洒50％杀螟松乳油800倍液或90％晶体敌百虫600倍液，或每亩用40％甲基异柳磷乳油100ml对水喷雾。每亩也可用40％甲基异柳乳油175ml配制成毒土撒施在稻田里，药后10天防效高达96％。,水稻,稻象甲,3~23,1,1,PD20086334,PD20093923,PD84108-13,PD84108-5,PD86164-2,PD86164,,,,,,,,,,,,,,
,农业防治,,早春结合修田埂，铲除田埂深约3.3cm的草皮，晒干烧灰或沤肥，以杀死越冬蝗卵。,水稻,长翅稻蝗,,0,2,,,,,,,,,,,,,,,,,,,,
,农业防治,,根据卵块能浮水的特点，结合春耕耙田，捞净水面浪渣，一并消灭卵块。,水稻,长翅稻蝗,,0,3,,,,,,,,,,,,,,,,,,,,
,农业防治,,放鸭捕食蝗蝻，但要注意勿让其吃得过饱。,水稻,长翅稻蝗,,0,4,,,,,,,,,,,,,,,,,,,,
,药剂喷杀,,掌握蝗蝻期施药。用90%敌百虫1000倍稀释液，或每hm2用80%敌敌畏乳油1125～1500ml兑水喷杀，或用菊酯类农药4000～8000倍稀释液喷杀。,水稻,长翅稻蝗,3~23,1,1,PD84108-13,PD84108-5,PD20097335,PD20101980,PD20080883,,,,,,,,,,,,,,,
,农业防治,,稻蝗喜在田埂、地头、渠旁产卵。发生重的地区组织人力铲埂、翻埂杀灭蝗卵，具明显效果。,水稻,水稻中华稻蝗,,0,2,,,,,,,,,,,,,,,,,,,,
,农业防治,,保护青蛙、蟾除，可有效抑制该虫发生。,水稻,水稻中华稻蝗,,0,3,,,,,,,,,,,,,,,,,,,,
,药剂防治,,抓住3龄前稻蝗群集在田埂、地边、渠旁取食杂草嫩叶特点，突击防治，当进入3-4龄后常转入大田，当百株有虫10头以上时，应及时喷洒50％辛硫磷乳油或50％马拉硫磷乳油或20％氰戊菊酯乳油、2.5％功夫菊酯乳油2000-3000倍液。均可取得较好防治效果。,水稻,水稻中华稻蝗,3~23,1,1,PD20093236,PD85157-2,PD20100485,PD20085457,PD20093236,PD20100485,,,,,,,,,,,,,,
,药剂防治,,于幼虫3龄前喷洒90％晶体敌百虫或50％杀螟松乳油或50％辛硫磷乳油1000倍液、25％杀虫脒或25％杀虫双500倍液或2.5％敌杀死乳油4000-5000倍液。,水稻,水稻稻田粘虫,3~23,1,1,PD84108-13,PD84108-5,PD20086334,PD20093923,PD84104-52,PD20085113,PD20080883,PD20093236,PD85157-2,,,,,,,,,,,
,药剂防治,,用2.5％敌百虫粉或2.5％辛硫磷或0.06％氰戊菊酯粉喷粉，每亩喷施2kg。,水稻,水稻稻田粘虫,3~24,1,2,PD84108-13,PD84108-5,PD20093236,PD85157-2, ,,,,,,,,,,,,,,,
,药剂防治,,可用2.5％敌百虫粉或2.5％辛硫磷粉剂或4.5％甲敌粉撤施。每亩用药2kg，拌入细沙或细土15-20kg，制成颗粒剂撒施，效果也很好。,水稻,水稻稻田粘虫,3~25,1,3,PD84108-13,PD84108-5,PD20093236,PD85157-2,,,,,,,,,,,,,,,,
,农业防治,,加强田间肥水管理，防止后期贪青徒长，适当烤田，降低田间湿度。因地制宜选用抗虫品种。,水稻,褐飞虱,,0,3,,,,,,,,,,,,,,,,,,,,
,药剂防治,陶氏益农,防治水稻飞虱，于虫害发生盛期施用乐斯本1次（60-80毫升/亩）；或低龄幼（若）虫期施用陶斯仙1～2次（42-85毫升/亩），间隔7天，如虫量较大，隔7天再施1次药；或在低龄若虫期施用特福力1次（15-23毫升/亩），施药时应重点对稻株茎叶基部均匀喷雾。高温天气、大风天或预计1小时内降雨，请勿施药。,水稻,褐飞虱,3~23,1,1,PD20084644,PD47-87,LS20130291,,,,,,,,,,,,,,,,,
,药剂防治,,药剂可选用25％优乐得可湿性粉剂2000倍液，20％稻虱净乳油800倍液，或25％扑虱灵可湿性粉剂1000倍液加40％毒死蜱乳油500倍液。,水稻,褐飞虱,3~23,1,2,PD98-89,PD20080798,PD20094724,PD20080654,PD47-87,PD20086294,,,,,,,,,,,,,,
,农业防治,,冬春季清除杂草，特别是秧田附近的游草及其他禾本科杂草等越冬寄主，降低虫源基数。,水稻,稻管蓟马,,0,3,,,,,,,,,,,,,,,,,,,,
,农业防治,,同一品种、同一类型田应集中种植，改变插花种植现象。,水稻,稻管蓟马,,0,4,,,,,,,,,,,,,,,,,,,,
,农业防治,,受害水稻生长势弱，适当地增施肥料可使水稻迅速恢复生长，减少损失。,水稻,稻管蓟马,,0,5,,,,,,,,,,,,,,,,,,,,
,种子处理,,在播前3天用10％吡虫啉可湿性粉剂4500克/公顷，加浸种灵和施宝克各450毫升/公顷，对水3000千克浸种60小时后催芽播种，对苗期稻蓟马防效可达95％以上，药效期长达30天左右。,水稻,稻管蓟马,1,1,1,PD365-2001,PD20040193,PD20030004,PD20080001,,,,,,,,,,,,,,,,
,药剂防治,,幼虫盛发期可喷洒10％吡虫啉可湿性粉剂2500倍液，或50％杀螟松乳油500倍液，或90％敌百虫晶体1500倍液。,水稻,稻管蓟马,3~23,1,2,PD365-2001,PD20040193,PD20086334,PD20093923,PD84108-13,PD84108-5,,,,,,,,,,,,,,
,农业防治,,早晚捕杀成虫和若虫，摘除卵块和初孵若虫。,水稻,水稻大绿蝽,,0,2,,,,,,,,,,,,,,,,,,,,
,药剂防治,,喷洒50％敌敌畏乳油800-1000倍液、2.5％敌杀死乳油3000倍液、或50％马拉硫磷乳油1000-1500倍液。,水稻,水稻大绿蝽,3~23,1,1,PD20097335,PD20101980,PD20080883,PD20100485,PD20085457,,,,,,,,,,,,,,,
,药剂防治,,新马歇特100毫升/亩+10%苄嘧磺隆30克/亩。施药时，田间有泥皮水，但不能有积水，药后秧苗达到一叶期，灌浅水并一直保持不淹没秧苗心叶的浅水层至晒田。,水稻,稗草,1~3,1,1,PD137-91,PD20020101,PD20082264,,,,,,,,,,,,,,,,,
,药剂防治,,新马歇特100毫升/亩+10%苄嘧磺隆31克/亩。施药时，田间有泥皮水，但不能有积水，药后秧苗达到一叶期，灌浅水并一直保持不淹没秧苗心叶的浅水层至晒田。,水稻,藜,1~3,1,1,PD137-91,PD20020101,PD20082264,,,,,,,,,,,,,,,,,
,药剂防治,,新马歇特100毫升/亩+10%苄嘧磺隆32克/亩。施药时，田间有泥皮水，但不能有积水，药后秧苗达到一叶期，灌浅水并一直保持不淹没秧苗心叶的浅水层至晒田。,水稻,空心莲子草,1~3,1,1,PD137-91,PD20020101,PD20082264,,,,,,,,,,,,,,,,,
,药剂防治,,新马歇特100毫升/亩+10%苄嘧磺隆33克/亩。施药时，田间有泥皮水，但不能有积水，药后秧苗达到一叶期，灌浅水并一直保持不淹没秧苗心叶的浅水层至晒田。,水稻,矮慈姑,1~3,1,1,PD137-91,PD20020101,PD20082264,,,,,,,,,,,,,,,,,
,药剂防治,,新马歇特100毫升/亩+10%苄嘧磺隆34克/亩。施药时，田间有泥皮水，但不能有积水，药后秧苗达到一叶期，灌浅水并一直保持不淹没秧苗心叶的浅水层至晒田。,水稻,泽泻,1~3,1,1,PD137-91,PD20020101,PD20082264,,,,,,,,,,,,,,,,,
,药剂防治,,新马歇特100毫升/亩+10%苄嘧磺隆35克/亩。施药时，田间有泥皮水，但不能有积水，药后秧苗达到一叶期，灌浅水并一直保持不淹没秧苗心叶的浅水层至晒田。,水稻,鸭舌草,1~3,1,1,PD137-91,PD20020101,PD20082264,,,,,,,,,,,,,,,,,
,药剂防治,,新马歇特100毫升/亩+10%苄嘧磺隆36克/亩。施药时，田间有泥皮水，但不能有积水，药后秧苗达到一叶期，灌浅水并一直保持不淹没秧苗心叶的浅水层至晒田。,水稻,萤蔺,1~3,1,1,PD137-91,PD20020101,PD20082264,,,,,,,,,,,,,,,,,
,药剂防治,,新马歇特100毫升/亩+10%苄嘧磺隆37克/亩。施药时，田间有泥皮水，但不能有积水，药后秧苗达到一叶期，灌浅水并一直保持不淹没秧苗心叶的浅水层至晒田。,水稻,异形莎草,1~3,1,1,PD137-91,PD20020101,PD20082264,,,,,,,,,,,,,,,,,
,药剂防治,,新马歇特100毫升/亩+10%苄嘧磺隆38克/亩。施药时，田间有泥皮水，但不能有积水，药后秧苗达到一叶期，灌浅水并一直保持不淹没秧苗心叶的浅水层至晒田。,水稻,水莎草,1~3,1,1,PD137-91,PD20020101,PD20082264,,,,,,,,,,,,,,,,,
,药剂防治,,新马歇特100毫升/亩+10%苄嘧磺隆39克/亩。施药时，田间有泥皮水，但不能有积水，药后秧苗达到一叶期，灌浅水并一直保持不淹没秧苗心叶的浅水层至晒田。,水稻,球穗扁莎草,1~3,1,1,PD137-91,PD20020101,PD20082264,,,,,,,,,,,,,,,,,
,药剂防治,,新马歇特100毫升/亩+10%苄嘧磺隆40克/亩。施药时，田间有泥皮水，但不能有积水，药后秧苗达到一叶期，灌浅水并一直保持不淹没秧苗心叶的浅水层至晒田。,水稻,扁秆草,1~3,1,1,PD137-91,PD20020101,PD20082264,,,,,,,,,,,,,,,,,
,药剂防治,,新马歇特100毫升/亩+10%苄嘧磺隆41克/亩。施药时，田间有泥皮水，但不能有积水，药后秧苗达到一叶期，灌浅水并一直保持不淹没秧苗心叶的浅水层至晒田。,水稻,具芒碎米莎草,1~3,1,1,PD137-91,PD20020101,PD20082264,,,,,,,,,,,,,,,,,
,药剂防治,,新马歇特100毫升/亩+10%苄嘧磺隆42克/亩。施药时，田间有泥皮水，但不能有积水，药后秧苗达到一叶期，灌浅水并一直保持不淹没秧苗心叶的浅水层至晒田。,水稻,眼子菜,1~3,1,1,PD137-91,PD20020101,PD20082264,,,,,,,,,,,,,,,,,
,药剂防治,,新马歇特100毫升/亩+10%苄嘧磺隆43克/亩。施药时，田间有泥皮水，但不能有积水，药后秧苗达到一叶期，灌浅水并一直保持不淹没秧苗心叶的浅水层至晒田。,水稻,四叶萍,1~3,1,1,PD137-91,PD20020101,PD20082264,,,,,,,,,,,,,,,,,
,药剂防治,,新马歇特100毫升/亩+10%苄嘧磺隆44克/亩。施药时，田间有泥皮水，但不能有积水，药后秧苗达到一叶期，灌浅水并一直保持不淹没秧苗心叶的浅水层至晒田。,水稻,小香蒲,1~3,1,1,PD137-91,PD20020101,PD20082264,,,,,,,,,,,,,,,,,
,药剂防治,,新马歇特100毫升/亩+10%苄嘧磺隆45克/亩。施药时，田间有泥皮水，但不能有积水，药后秧苗达到一叶期，灌浅水并一直保持不淹没秧苗心叶的浅水层至晒田。,水稻,酸模叶蓼,1~3,1,1,PD137-91,PD20020101,PD20082264,,,,,,,,,,,,,,,,,
,药剂防治,,新马歇特100毫升/亩+10%苄嘧磺隆46克/亩。施药时，田间有泥皮水，但不能有积水，药后秧苗达到一叶期，灌浅水并一直保持不淹没秧苗心叶的浅水层至晒田。,水稻,鳢肠,1~3,1,1,PD137-91,PD20020101,PD20082264,,,,,,,,,,,,,,,,,
,药剂防治,,新马歇特100毫升/亩+10%苄嘧磺隆47克/亩。施药时，田间有泥皮水，但不能有积水，药后秧苗达到一叶期，灌浅水并一直保持不淹没秧苗心叶的浅水层至晒田。,水稻,马唐和止血马唐,1~3,1,1,PD137-91,PD20020101,PD20082264,,,,,,,,,,,,,,,,,